partner_name,im_team_name
University Registrar,EAA
Student Fiscal Services (SFS),EAA
Advancement,EAA
IT Infrastructructure,EAA
Org Dev,EAA
Business & Finance,EAA
Academic Services,EAA
HR,EAA
UW FT,EAA
CSS,EAA
PMO,EAA
ISC,EAA
ISC,EAA
UW Finance,EAA
HR,EAA
UW Finance,EAA
Academic Personnel,EAA
Academic Personnel,EAA
IOT (Facilities & CISO),EAA
Information School,EAA
Facilities,EAA
EH&S,EAA
UWIT,EAA
CSS,EAA
Strategy & Research Computing,EAA
University Advancement,EAA
Development,EAA
Development,EAA
Student Program,EAA
CSS,EAA
Network System Operations,EAA
IT Infrastructructure Services,EAA
Computing & Storage,EAA
DBA Team,EAA
Mainframe Systems,EAA
Netwrok Design & Architecture,EAA
IT Operations,EAA
Service Managemnet,EAA
Workforce Strategy & Development,EAA
CISO,EAA
Communications,EAA
EA,EAA
Business Continuity,EAA
EH&S,EAA
FT/Enterprise Services,EAA
University Registrar,EDM
Student Fiscal Services (SFS),EDM
Business & Finance,EDM
PMO,EDM
PMO,EDM
PMO,EDM
UW Finance,EDM
UW Finance,EDM
UW Finance,EDM
Academic Personnel,EDM
Academic Personnel,EDM
Academic Personnel,EDM
UWIT,EDM
EA,EDM
EA,EDM
Records Management,EDM
Records Management,EDM
Procurement Services,EDM
Procurement Services,EDM
Procurement Services,EDM
Procurement Services,EDM
Controllers Office,EDM
GCA,EDM
GCA,EDM
EH&S,EDM
EH&S,EDM
EH&S,EDM
EH&S,EDM
Academic Services,EDM
Controllers Office,Finance Solutions
Controllers Office,Finance Solutions
GCA,Finance Solutions
Procurement Services,Finance Solutions
Equipement and Inventory Office,Finance Solutions
Controllers Office,Finance Solutions
Office of Planning & Budgeting,Finance Solutions
Procurement Services,Finance Solutions
Treasury Office,Finance Solutions
Accounts Payable/Financial Management,Finance Solutions
Tax Office/Financial Managment,Finance Solutions
MWBE,Finance Solutions
GCA,Finance Solutions
Grants recievables/GCA,Finance Solutions
Controllers Office,Finance Solutions
Parking,EAA
Foster School of Business,EDM
GCA,EDM
Bothell Center for International Education,EDM
GCA,EDM
Tacoma Veterans and Military Center (VMRC),EDM
Tacoma Veterans and Military Center (VMRC),EDM
Facilities,EDM
OSFA,EDM
OSFA,EDM
OSFA,EDM
OSFA,EDM
GCA,EDM
GCA,EDM
GCA,EDM
GCA,EDM
Procurement Services,EDM
Procurement Services,EDM
Procurement Services,EDM
Procurement Services,EDM
Student Fiscal Services,EDM
Student Fiscal Services,EDM
Academic Personnel,EDM
Academic Personnel,EDM
EH&S,EDM
EH&S,EDM
EH&S,EDM
EH&S,EDM
Records Management,EDM
Org Dev,Finance Solutions
Business & Finance,Finance Solutions
UW FT,Finance Solutions
PMO,Finance Solutions
UW Finance,Finance Solutions
UW Finance,Finance Solutions
Network System Operations,Finance Solutions
Computing & Storage,Finance Solutions
DBA Team,Finance Solutions
Mainframe Systems,Finance Solutions
EA,Finance Solutions
Business Continuity,Finance Solutions
FT/Enterprise Services,Finance Solutions
OSFA,EDM
OSFA,EDM
OSFA,EDM
Facilities Services,EDM
Information School,EDM
Records Management,EDM
UW Bothell IT,EDM
UW Tacoma IT,EDM
College of Arts and Sciences: Information and Learning Technologies,EDM
UW Finance,EDM
UW Medicine: Supply Chain,EDM
UW Privacy,EDM
UW Privacy,EDM
HR: Total Talent Management,EDM
CAS: Women's Center,EDM
CAS: Sociology,EDM
External Affairs: UW Video,EDM
HSD,EDM
University Registrar,EDI
Student Fiscal Services (SFS),EDI
IAM,EDI
ITI,EDI
UWIT OD,EDI
UWIT Finance,EDI
Student Systems,EDI
UWIT HR,EDI
FT,EDI
CS,EDI
PMO,EDI
ISC,EDI
ISC,EDI
FT,EDI
UWIT Finance,EDI
Financial Services,EDI
Academic Personnel,EDI
UWIT Procurement,EDI
UWIT Procurement,EDI
UWIT HR,EDI
UW Medicine,EDI
UWIT,EDI
UWIT CS,EDI
UWIT RC&S,EDI
ISC,EDI
EA,EDI
Advancement,EDI
EA,EDI
EA,EDI
ITI,EDI
FT,EDI
ITI,EDI
ORIS,EDI
UWIT,EDI
ITI,EDI
ITI,EDI
UWIT HR,EDI
Communications,EDI
EA,EDI
UWIT RC&S,EDI
Analytics,EDI
FT,EDI
UW Med School,EDI
"Bus, Fin, Facilities",EDI
FT,EDI
FT,EDI
UW Medicine Finance,EDI
FT (Deloitte),EDI
UWIT BAF,EDI
Internal Audit,EDI
Internal Audit,EDI
OPB,EDI
OPB,EDI
OPB,EDI
UWIT RC&S,EDI
ISC,EIP
"ISC - HCM, Academics, Talent & Performance",EIP
ISC - Payroll,EIP
ISC - Workday Application Mgmt,EIP
ISC,EIP
"ISC - HCM, Academics, Talent & Performance",EIP
ISC - Program Operations,EIP
ISC - Benefits (DRS),EIP
DRS,EIP
ORIS,EIP
Northwest Hospital,EIP
UW Medicine (supporting NWH),EIP
ISC (Supportihg NWH),EIP
Northwest Hospital,EIP
Northwest Hospital,EIP
UW Medicine (supporting NWH),EIP
ISC,EIP
EA,EIP
EA,EIP
EA,EIP
IAM,EIP
Academic Personnel,EIP
Academic Personnel,EIP
Academic Personnel,EIP
Student Program,EIP
Student Program,EIP
Graduate School,EIP
UW Medicing (supporting FT),EIP
Organizational Development,EIP
Academic Personnel,ERA
Academic Personnel,ERA
OPB,ERA
OPB,ERA
OPB,ERA
OPB,ERA
OPB,ERA
OPB,ERA
OPB,ERA
Enrollment Information Services,ERA
Enrollment Information Services,ERA
Enrollment Information Services,ERA
Enrollment Information Services,ERA
Graduate School,ERA
Graduate School,ERA
Graduate School,ERA
Graduate School,ERA
Graduate School,ERA
ORIS,ERA
ORIS,ERA
ORIS,ERA
OGA,ERA
Data Group (Financial Management),ERA
Data Group (Financial Management),ERA
College of Education,ERA
Geography Department,ERA
College of Arts and Sciences,ERA
College of Engineering,ERA
UW Admissions Office,ERA
AXDD,ERA
AXDD,ERA
ISC,ERA
School of the Environment,ERA
MAA,ERA
MAA,ERA
MAA,ERA
